,codename,political_parties,votes
345,tarragona,JxCAT-JUNTS,51461
346,badajoz,JxCAT-JUNTS,0
347,caceres,JxCAT-JUNTS,0
348,acoruña,JxCAT-JUNTS,0
349,lugo,JxCAT-JUNTS,0
350,ourense,JxCAT-JUNTS,0
351,pontevedra,JxCAT-JUNTS,0
352,madrid,JxCAT-JUNTS,0
353,navarra,JxCAT-JUNTS,0
354,araba_alava,JxCAT-JUNTS,0
355,gipuzkoa,JxCAT-JUNTS,0
356,bizkaia,JxCAT-JUNTS,0
357,murcia,JxCAT-JUNTS,0
358,larioja,JxCAT-JUNTS,0
359,alicante_alacant,JxCAT-JUNTS,0
360,castellon_castello,JxCAT-JUNTS,0
361,valencia_valencia,JxCAT-JUNTS,0
362,ceuta,JxCAT-JUNTS,0
363,melilla,JxCAT-JUNTS,0
364,almeria,ECP-GUANYEM EL CANVI,0
365,cadiz,ECP-GUANYEM EL CANVI,0
366,cordoba,ECP-GUANYEM EL CANVI,0
367,granada,ECP-GUANYEM EL CANVI,0
368,huelva,ECP-GUANYEM EL CANVI,0
369,jaen,ECP-GUANYEM EL CANVI,0
370,malaga,ECP-GUANYEM EL CANVI,0
371,sevilla,ECP-GUANYEM EL CANVI,0
372,huesca,ECP-GUANYEM EL CANVI,0
373,teruel,ECP-GUANYEM EL CANVI,0
374,zaragoza,ECP-GUANYEM EL CANVI,0
375,asturias,ECP-GUANYEM EL CANVI,0
376,illesbalears,ECP-GUANYEM EL CANVI,0
377,laspalmas,ECP-GUANYEM EL CANVI,0
378,santacruzdetenerife,ECP-GUANYEM EL CANVI,0
379,cantabria,ECP-GUANYEM EL CANVI,0
380,albacete,ECP-GUANYEM EL CANVI,0
381,ciudadreal,ECP-GUANYEM EL CANVI,0
382,cuenca,ECP-GUANYEM EL CANVI,0
383,guadalajara,ECP-GUANYEM EL CANVI,0
384,toledo,ECP-GUANYEM EL CANVI,0
385,avila,ECP-GUANYEM EL CANVI,0
386,burgos,ECP-GUANYEM EL CANVI,0
387,leon,ECP-GUANYEM EL CANVI,0
388,palencia,ECP-GUANYEM EL CANVI,0
389,salamanca,ECP-GUANYEM EL CANVI,0
390,segovia,ECP-GUANYEM EL CANVI,0
391,soria,ECP-GUANYEM EL CANVI,0
392,valladolid,ECP-GUANYEM EL CANVI,0
393,zamora,ECP-GUANYEM EL CANVI,0
394,barcelona,ECP-GUANYEM EL CANVI,452482
395,girona,ECP-GUANYEM EL CANVI,33710
396,lleida,ECP-GUANYEM EL CANVI,16337
397,tarragona,ECP-GUANYEM EL CANVI,46644
398,badajoz,ECP-GUANYEM EL CANVI,0
399,caceres,ECP-GUANYEM EL CANVI,0
400,acoruña,ECP-GUANYEM EL CANVI,0
401,lugo,ECP-GUANYEM EL CANVI,0
402,ourense,ECP-GUANYEM EL CANVI,0
403,pontevedra,ECP-GUANYEM EL CANVI,0
404,madrid,ECP-GUANYEM EL CANVI,0
405,navarra,ECP-GUANYEM EL CANVI,0
406,araba_alava,ECP-GUANYEM EL CANVI,0
407,gipuzkoa,ECP-GUANYEM EL CANVI,0
408,bizkaia,ECP-GUANYEM EL CANVI,0
409,murcia,ECP-GUANYEM EL CANVI,0
410,larioja,ECP-GUANYEM EL CANVI,0
411,alicante_alacant,ECP-GUANYEM EL CANVI,0
412,castellon_castello,ECP-GUANYEM EL CANVI,0
413,valencia_valencia,ECP-GUANYEM EL CANVI,0
414,ceuta,ECP-GUANYEM EL CANVI,0
415,melilla,ECP-GUANYEM EL CANVI,0
416,almeria,EAJ-PNV,0
417,cadiz,EAJ-PNV,0
418,cordoba,EAJ-PNV,0
419,granada,EAJ-PNV,0
420,huelva,EAJ-PNV,0
421,jaen,EAJ-PNV,0
422,malaga,EAJ-PNV,0
423,sevilla,EAJ-PNV,0
424,huesca,EAJ-PNV,0
425,teruel,EAJ-PNV,0
426,zaragoza,EAJ-PNV,0
427,asturias,EAJ-PNV,0
428,illesbalears,EAJ-PNV,0
429,laspalmas,EAJ-PNV,0
430,santacruzdetenerife,EAJ-PNV,0
431,cantabria,EAJ-PNV,0
432,albacete,EAJ-PNV,0
433,ciudadreal,EAJ-PNV,0
434,cuenca,EAJ-PNV,0
435,guadalajara,EAJ-PNV,0
436,toledo,EAJ-PNV,0
437,avila,EAJ-PNV,0
438,burgos,EAJ-PNV,0
439,leon,EAJ-PNV,0
440,palencia,EAJ-PNV,0
441,salamanca,EAJ-PNV,0
442,segovia,EAJ-PNV,0
443,soria,EAJ-PNV,0
444,valladolid,EAJ-PNV,0
445,zamora,EAJ-PNV,0
446,barcelona,EAJ-PNV,0
447,girona,EAJ-PNV,0
448,lleida,EAJ-PNV,0
449,tarragona,EAJ-PNV,0
450,badajoz,EAJ-PNV,0
451,caceres,EAJ-PNV,0
452,acoruña,EAJ-PNV,0
453,lugo,EAJ-PNV,0
454,ourense,EAJ-PNV,0
455,pontevedra,EAJ-PNV,0
456,madrid,EAJ-PNV,0
457,navarra,EAJ-PNV,0
458,araba_alava,EAJ-PNV,40262
459,gipuzkoa,EAJ-PNV,116761
460,bizkaia,EAJ-PNV,221979
461,murcia,EAJ-PNV,0
462,larioja,EAJ-PNV,0
463,alicante_alacant,EAJ-PNV,0
464,castellon_castello,EAJ-PNV,0
465,valencia_valencia,EAJ-PNV,0
466,ceuta,EAJ-PNV,0
467,melilla,EAJ-PNV,0
468,almeria,EH Bildu,0
469,cadiz,EH Bildu,0
470,cordoba,EH Bildu,0
471,granada,EH Bildu,0
472,huelva,EH Bildu,0
473,jaen,EH Bildu,0
474,malaga,EH Bildu,0
475,sevilla,EH Bildu,0
476,huesca,EH Bildu,0
477,teruel,EH Bildu,0
478,zaragoza,EH Bildu,0
479,asturias,EH Bildu,0
480,illesbalears,EH Bildu,0
481,laspalmas,EH Bildu,0
482,santacruzdetenerife,EH Bildu,0
483,cantabria,EH Bildu,0
484,albacete,EH Bildu,0
485,ciudadreal,EH Bildu,0
486,cuenca,EH Bildu,0
487,guadalajara,EH Bildu,0
488,toledo,EH Bildu,0
489,avila,EH Bildu,0
490,burgos,EH Bildu,0
491,leon,EH Bildu,0
492,palencia,EH Bildu,0
493,salamanca,EH Bildu,0
494,segovia,EH Bildu,0
495,soria,EH Bildu,0
496,valladolid,EH Bildu,0
497,zamora,EH Bildu,0
498,barcelona,EH Bildu,0
499,girona,EH Bildu,0
500,lleida,EH Bildu,0
501,tarragona,EH Bildu,0
502,badajoz,EH Bildu,0
503,caceres,EH Bildu,0
504,acoruña,EH Bildu,0
505,lugo,EH Bildu,0
506,ourense,EH Bildu,0
507,pontevedra,EH Bildu,0
508,madrid,EH Bildu,0
509,navarra,EH Bildu,56548
510,araba_alava,EH Bildu,27453
511,gipuzkoa,EH Bildu,98951
512,bizkaia,EH Bildu,94669
513,murcia,EH Bildu,0
514,larioja,EH Bildu,0
515,alicante_alacant,EH Bildu,0
516,castellon_castello,EH Bildu,0
517,valencia_valencia,EH Bildu,0
518,ceuta,EH Bildu,0
519,melilla,EH Bildu,0
520,almeria,MÁS PAÍS-EQUO,0
521,cadiz,MÁS PAÍS-EQUO,11316
522,cordoba,MÁS PAÍS-EQUO,0
523,granada,MÁS PAÍS-EQUO,8629
524,huelva,MÁS PAÍS-EQUO,0
525,jaen,MÁS PAÍS-EQUO,0
526,malaga,MÁS PAÍS-EQUO,14112
527,sevilla,MÁS PAÍS-EQUO,22388
