,codename,political_parties,votes
1552,bizkaia,UPL,0
1553,murcia,UPL,0
1554,larioja,UPL,0
1555,alicante_alacant,UPL,0
1556,castellon_castello,UPL,0
1557,valencia_valencia,UPL,0
1558,ceuta,UPL,0
1559,melilla,UPL,0
1560,almeria,PCOE,0
1561,cadiz,PCOE,1739
1562,cordoba,PCOE,1062
1563,granada,PCOE,0
1564,huelva,PCOE,464
1565,jaen,PCOE,0
1566,malaga,PCOE,1265
1567,sevilla,PCOE,1495
1568,huesca,PCOE,0
1569,teruel,PCOE,96
1570,zaragoza,PCOE,0
1571,asturias,PCOE,0
1572,illesbalears,PCOE,0
1573,laspalmas,PCOE,0
1574,santacruzdetenerife,PCOE,0
1575,cantabria,PCOE,0
1576,albacete,PCOE,0
1577,ciudadreal,PCOE,0
1578,cuenca,PCOE,0
1579,guadalajara,PCOE,195
1580,toledo,PCOE,0
1581,avila,PCOE,0
1582,burgos,PCOE,0
1583,leon,PCOE,0
1584,palencia,PCOE,0
1585,salamanca,PCOE,0
1586,segovia,PCOE,173
1587,soria,PCOE,0
1588,valladolid,PCOE,0
1589,zamora,PCOE,0
1590,barcelona,PCOE,0
1591,girona,PCOE,0
1592,lleida,PCOE,0
1593,tarragona,PCOE,0
1594,badajoz,PCOE,0
1595,caceres,PCOE,0
1596,acoruña,PCOE,1689
1597,lugo,PCOE,178
1598,ourense,PCOE,0
1599,pontevedra,PCOE,0
1600,madrid,PCOE,0
1601,navarra,PCOE,0
1602,araba_alava,PCOE,0
1603,gipuzkoa,PCOE,0
1604,bizkaia,PCOE,0
1605,murcia,PCOE,990
1606,larioja,PCOE,0
1607,alicante_alacant,PCOE,0
1608,castellon_castello,PCOE,379
1609,valencia_valencia,PCOE,0
1610,ceuta,PCOE,0
1611,melilla,PCOE,0
1612,almeria,CpM,0
1613,cadiz,CpM,0
1614,cordoba,CpM,0
1615,granada,CpM,0
1616,huelva,CpM,0
1617,jaen,CpM,0
1618,malaga,CpM,0
1619,sevilla,CpM,0
1620,huesca,CpM,0
1621,teruel,CpM,0
1622,zaragoza,CpM,0
1623,asturias,CpM,0
1624,illesbalears,CpM,0
1625,laspalmas,CpM,0
1626,santacruzdetenerife,CpM,0
1627,cantabria,CpM,0
1628,albacete,CpM,0
1629,ciudadreal,CpM,0
1630,cuenca,CpM,0
1631,guadalajara,CpM,0
1632,toledo,CpM,0
1633,avila,CpM,0
1634,burgos,CpM,0
1635,leon,CpM,0
1636,palencia,CpM,0
1637,salamanca,CpM,0
1638,segovia,CpM,0
1639,soria,CpM,0
1640,valladolid,CpM,0
1641,zamora,CpM,0
1642,barcelona,CpM,0
1643,girona,CpM,0
1644,lleida,CpM,0
1645,tarragona,CpM,0
1646,badajoz,CpM,0
1647,caceres,CpM,0
1648,acoruña,CpM,0
1649,lugo,CpM,0
1650,ourense,CpM,0
1651,pontevedra,CpM,0
1652,madrid,CpM,0
1653,navarra,CpM,0
1654,araba_alava,CpM,0
1655,gipuzkoa,CpM,0
1656,bizkaia,CpM,0
1657,murcia,CpM,0
1658,larioja,CpM,0
1659,alicante_alacant,CpM,0
1660,castellon_castello,CpM,0
1661,valencia_valencia,CpM,0
1662,ceuta,CpM,0
1663,melilla,CpM,8955
1664,almeria,EB,513
1665,cadiz,EB,0
1666,cordoba,EB,760
1667,granada,EB,0
1668,huelva,EB,0
1669,jaen,EB,0
1670,malaga,EB,0
1671,sevilla,EB,0
1672,huesca,EB,393
1673,teruel,EB,0
1674,zaragoza,EB,1940
1675,asturias,EB,0
1676,illesbalears,EB,0
1677,laspalmas,EB,0
1678,santacruzdetenerife,EB,418
1679,cantabria,EB,259
1680,albacete,EB,0
1681,ciudadreal,EB,0
1682,cuenca,EB,0
1683,guadalajara,EB,0
1684,toledo,EB,0
1685,avila,EB,0
1686,burgos,EB,0
1687,leon,EB,0
1688,palencia,EB,0
1689,salamanca,EB,0
1690,segovia,EB,0
1691,soria,EB,0
1692,valladolid,EB,0
1693,zamora,EB,0
1694,barcelona,EB,0
1695,girona,EB,0
1696,lleida,EB,0
1697,tarragona,EB,0
1698,badajoz,EB,0
1699,caceres,EB,0
1700,acoruña,EB,0
1701,lugo,EB,0
1702,ourense,EB,0
1703,pontevedra,EB,692
1704,madrid,EB,0
1705,navarra,EB,0
1706,araba_alava,EB,0
1707,gipuzkoa,EB,570
1708,bizkaia,EB,0
1709,murcia,EB,0
1710,larioja,EB,425
1711,alicante_alacant,EB,0
1712,castellon_castello,EB,0
1713,valencia_valencia,EB,0
1714,ceuta,EB,0
1715,melilla,EB,0
1716,almeria,ERPV,0
1717,cadiz,ERPV,0
1718,cordoba,ERPV,0
1719,granada,ERPV,0
1720,huelva,ERPV,0
1721,jaen,ERPV,0
1722,malaga,ERPV,0
1723,sevilla,ERPV,0
1724,huesca,ERPV,0
1725,teruel,ERPV,0
1726,zaragoza,ERPV,0
1727,asturias,ERPV,0
1728,illesbalears,ERPV,0
1729,laspalmas,ERPV,0
1730,santacruzdetenerife,ERPV,0
1731,cantabria,ERPV,0
1732,albacete,ERPV,0
1733,ciudadreal,ERPV,0
1734,cuenca,ERPV,0
1735,guadalajara,ERPV,0
1736,toledo,ERPV,0
1737,avila,ERPV,0
1738,burgos,ERPV,0
1739,leon,ERPV,0
1740,palencia,ERPV,0
1741,salamanca,ERPV,0
1742,segovia,ERPV,0
1743,soria,ERPV,0
1744,valladolid,ERPV,0
1745,zamora,ERPV,0
1746,barcelona,ERPV,0
1747,girona,ERPV,0
1748,lleida,ERPV,0
1749,tarragona,ERPV,0
1750,badajoz,ERPV,0
1751,caceres,ERPV,0
1752,acoruña,ERPV,0
1753,lugo,ERPV,0
1754,ourense,ERPV,0
1755,pontevedra,ERPV,0
1756,madrid,ERPV,0
1757,navarra,ERPV,0
1758,araba_alava,ERPV,0
1759,gipuzkoa,ERPV,0
1760,bizkaia,ERPV,0
1761,murcia,ERPV,0
1762,larioja,ERPV,0
1763,alicante_alacant,ERPV,1683
1764,castellon_castello,ERPV,1106
1765,valencia_valencia,ERPV,3086
1766,ceuta,ERPV,0
1767,melilla,ERPV,0
1768,almeria,XAV,0
1769,cadiz,XAV,0
1770,cordoba,XAV,0
1771,granada,XAV,0
1772,huelva,XAV,0
1773,jaen,XAV,0
1774,malaga,XAV,0
1775,sevilla,XAV,0
1776,huesca,XAV,0
1777,teruel,XAV,0
1778,zaragoza,XAV,0
1779,asturias,XAV,0
1780,illesbalears,XAV,0
1781,laspalmas,XAV,0
1782,santacruzdetenerife,XAV,0
1783,cantabria,XAV,0
1784,albacete,XAV,0
1785,ciudadreal,XAV,0
1786,cuenca,XAV,0
1787,guadalajara,XAV,0
1788,toledo,XAV,0
1789,avila,XAV,5416
1790,burgos,XAV,0
1791,leon,XAV,0
1792,palencia,XAV,0
1793,salamanca,XAV,0
1794,segovia,XAV,0
1795,soria,XAV,0
1796,valladolid,XAV,0
1797,zamora,XAV,0
1798,barcelona,XAV,0
1799,girona,XAV,0
1800,lleida,XAV,0
1801,tarragona,XAV,0
1802,badajoz,XAV,0
1803,caceres,XAV,0
1804,acoruña,XAV,0
1805,lugo,XAV,0
1806,ourense,XAV,0
1807,pontevedra,XAV,0
1808,madrid,XAV,0
1809,navarra,XAV,0
1810,araba_alava,XAV,0
1811,gipuzkoa,XAV,0
1812,bizkaia,XAV,0
1813,murcia,XAV,0
1814,larioja,XAV,0
1815,alicante_alacant,XAV,0
1816,castellon_castello,XAV,0
1817,valencia_valencia,XAV,0
1818,ceuta,XAV,0
1819,melilla,XAV,0
1820,almeria,AVANT ADELANTE LOS VERDES,0
1821,cadiz,AVANT ADELANTE LOS VERDES,0
1822,cordoba,AVANT ADELANTE LOS VERDES,0
1823,granada,AVANT ADELANTE LOS VERDES,0
1824,huelva,AVANT ADELANTE LOS VERDES,0
1825,jaen,AVANT ADELANTE LOS VERDES,0
1826,malaga,AVANT ADELANTE LOS VERDES,0
1827,sevilla,AVANT ADELANTE LOS VERDES,0
1828,huesca,AVANT ADELANTE LOS VERDES,0
1829,teruel,AVANT ADELANTE LOS VERDES,0
1830,zaragoza,AVANT ADELANTE LOS VERDES,0
1831,asturias,AVANT ADELANTE LOS VERDES,0
1832,illesbalears,AVANT ADELANTE LOS VERDES,0
1833,laspalmas,AVANT ADELANTE LOS VERDES,0
1834,santacruzdetenerife,AVANT ADELANTE LOS VERDES,0
1835,cantabria,AVANT ADELANTE LOS VERDES,0
1836,albacete,AVANT ADELANTE LOS VERDES,0
1837,ciudadreal,AVANT ADELANTE LOS VERDES,0
1838,cuenca,AVANT ADELANTE LOS VERDES,0
1839,guadalajara,AVANT ADELANTE LOS VERDES,0
1840,toledo,AVANT ADELANTE LOS VERDES,0
1841,avila,AVANT ADELANTE LOS VERDES,0
1842,burgos,AVANT ADELANTE LOS VERDES,0
1843,leon,AVANT ADELANTE LOS VERDES,0
1844,palencia,AVANT ADELANTE LOS VERDES,0
1845,salamanca,AVANT ADELANTE LOS VERDES,0
1846,segovia,AVANT ADELANTE LOS VERDES,0
1847,soria,AVANT ADELANTE LOS VERDES,0
1848,valladolid,AVANT ADELANTE LOS VERDES,0
1849,zamora,AVANT ADELANTE LOS VERDES,0
1850,barcelona,AVANT ADELANTE LOS VERDES,0
1851,girona,AVANT ADELANTE LOS VERDES,0
1852,lleida,AVANT ADELANTE LOS VERDES,0
1853,tarragona,AVANT ADELANTE LOS VERDES,0
1854,badajoz,AVANT ADELANTE LOS VERDES,0
1855,caceres,AVANT ADELANTE LOS VERDES,0
1856,acoruña,AVANT ADELANTE LOS VERDES,0
1857,lugo,AVANT ADELANTE LOS VERDES,0
1858,ourense,AVANT ADELANTE LOS VERDES,0
1859,pontevedra,AVANT ADELANTE LOS VERDES,0
1860,madrid,AVANT ADELANTE LOS VERDES,0
1861,navarra,AVANT ADELANTE LOS VERDES,0
1862,araba_alava,AVANT ADELANTE LOS VERDES,0
1863,gipuzkoa,AVANT ADELANTE LOS VERDES,0
1864,bizkaia,AVANT ADELANTE LOS VERDES,0
1865,murcia,AVANT ADELANTE LOS VERDES,0
1866,larioja,AVANT ADELANTE LOS VERDES,0
1867,alicante_alacant,AVANT ADELANTE LOS VERDES,2337
1868,castellon_castello,AVANT ADELANTE LOS VERDES,405
1869,valencia_valencia,AVANT ADELANTE LOS VERDES,2674
1870,ceuta,AVANT ADELANTE LOS VERDES,0
1871,melilla,AVANT ADELANTE LOS VERDES,0
1872,almeria,VERDES,0
1873,cadiz,VERDES,0
1874,cordoba,VERDES,0
1875,granada,VERDES,0
1876,huelva,VERDES,0
1877,jaen,VERDES,0
1878,malaga,VERDES,0
1879,sevilla,VERDES,0
1880,huesca,VERDES,0
1881,teruel,VERDES,0
1882,zaragoza,VERDES,0
1883,asturias,VERDES,0
1884,illesbalears,VERDES,0
1885,laspalmas,VERDES,1864
1886,santacruzdetenerife,VERDES,1322
1887,cantabria,VERDES,0
1888,albacete,VERDES,0
1889,ciudadreal,VERDES,0
1890,cuenca,VERDES,0
1891,guadalajara,VERDES,0
1892,toledo,VERDES,0
1893,avila,VERDES,0
1894,burgos,VERDES,0
1895,leon,VERDES,0
1896,palencia,VERDES,0
1897,salamanca,VERDES,0
1898,segovia,VERDES,0
1899,soria,VERDES,0
1900,valladolid,VERDES,0
1901,zamora,VERDES,0
1902,barcelona,VERDES,0
1903,girona,VERDES,0
1904,lleida,VERDES,0
1905,tarragona,VERDES,0
1906,badajoz,VERDES,0
1907,caceres,VERDES,0
1908,acoruña,VERDES,0
1909,lugo,VERDES,0
1910,ourense,VERDES,0
1911,pontevedra,VERDES,0
1912,madrid,VERDES,0
1913,navarra,VERDES,0
1914,araba_alava,VERDES,0
1915,gipuzkoa,VERDES,0
1916,bizkaia,VERDES,0
1917,murcia,VERDES,0
1918,larioja,VERDES,0
1919,alicante_alacant,VERDES,0
1920,castellon_castello,VERDES,0
1921,valencia_valencia,VERDES,0
1922,ceuta,VERDES,0
1923,melilla,VERDES,101
1924,almeria,PH,0
1925,cadiz,PH,0
1926,cordoba,PH,0
1927,granada,PH,0
1928,huelva,PH,0
1929,jaen,PH,0
1930,malaga,PH,0
1931,sevilla,PH,0
1932,huesca,PH,0
1933,teruel,PH,0
1934,zaragoza,PH,0
1935,asturias,PH,366
1936,illesbalears,PH,0
1937,laspalmas,PH,276
1938,santacruzdetenerife,PH,0
1939,cantabria,PH,0
1940,albacete,PH,0
1941,ciudadreal,PH,0
1942,cuenca,PH,0
1943,guadalajara,PH,0
1944,toledo,PH,0
1945,avila,PH,0
1946,burgos,PH,0
1947,leon,PH,0
1948,palencia,PH,0
1949,salamanca,PH,0
1950,segovia,PH,0
1951,soria,PH,0
1952,valladolid,PH,0
1953,zamora,PH,0
1954,barcelona,PH,0
1955,girona,PH,0
1956,lleida,PH,0
1957,tarragona,PH,0
1958,badajoz,PH,0
1959,caceres,PH,0
1960,acoruña,PH,0
1961,lugo,PH,0
1962,ourense,PH,0
1963,pontevedra,PH,0
1964,madrid,PH,2508
1965,navarra,PH,0
1966,araba_alava,PH,0
1967,gipuzkoa,PH,0
1968,bizkaia,PH,0
1969,murcia,PH,0
1970,larioja,PH,0
1971,alicante_alacant,PH,0
1972,castellon_castello,PH,0
1973,valencia_valencia,PH,0
1974,ceuta,PH,0
1975,melilla,PH,0
1976,almeria,I.Fem,0
1977,cadiz,I.Fem,0
1978,cordoba,I.Fem,0
1979,granada,I.Fem,0
1980,huelva,I.Fem,0
1981,jaen,I.Fem,0
1982,malaga,I.Fem,0
1983,sevilla,I.Fem,0
1984,huesca,I.Fem,0
1985,teruel,I.Fem,0
1986,zaragoza,I.Fem,0
1987,asturias,I.Fem,0
1988,illesbalears,I.Fem,0
1989,laspalmas,I.Fem,0
1990,santacruzdetenerife,I.Fem,0
1991,cantabria,I.Fem,0
1992,albacete,I.Fem,0
1993,ciudadreal,I.Fem,0
1994,cuenca,I.Fem,0
1995,guadalajara,I.Fem,0
1996,toledo,I.Fem,0
1997,avila,I.Fem,0
1998,burgos,I.Fem,0
1999,leon,I.Fem,0
2000,palencia,I.Fem,0
2001,salamanca,I.Fem,0
2002,segovia,I.Fem,0
2003,soria,I.Fem,0
2004,valladolid,I.Fem,0
2005,zamora,I.Fem,0
2006,barcelona,I.Fem,3005
2007,girona,I.Fem,0
2008,lleida,I.Fem,0
2009,tarragona,I.Fem,0
2010,badajoz,I.Fem,0
2011,caceres,I.Fem,0
2012,acoruña,I.Fem,0
2013,lugo,I.Fem,0
2014,ourense,I.Fem,0
2015,pontevedra,I.Fem,0
2016,madrid,I.Fem,0
2017,navarra,I.Fem,0
2018,araba_alava,I.Fem,0
2019,gipuzkoa,I.Fem,0
2020,bizkaia,I.Fem,0
2021,murcia,I.Fem,0
2022,larioja,I.Fem,0
2023,alicante_alacant,I.Fem,0
2024,castellon_castello,I.Fem,0
2025,valencia_valencia,I.Fem,0
2026,ceuta,I.Fem,0
2027,melilla,I.Fem,0
2028,almeria,UIG-SOM-CUIDES,0
2029,cadiz,UIG-SOM-CUIDES,0
2030,cordoba,UIG-SOM-CUIDES,0
2031,granada,UIG-SOM-CUIDES,0
2032,huelva,UIG-SOM-CUIDES,0
2033,jaen,UIG-SOM-CUIDES,0
2034,malaga,UIG-SOM-CUIDES,0
2035,sevilla,UIG-SOM-CUIDES,0
2036,huesca,UIG-SOM-CUIDES,0
2037,teruel,UIG-SOM-CUIDES,0
2038,zaragoza,UIG-SOM-CUIDES,0
2039,asturias,UIG-SOM-CUIDES,0
2040,illesbalears,UIG-SOM-CUIDES,0
2041,laspalmas,UIG-SOM-CUIDES,0
2042,santacruzdetenerife,UIG-SOM-CUIDES,0
2043,cantabria,UIG-SOM-CUIDES,0
2044,albacete,UIG-SOM-CUIDES,0
2045,ciudadreal,UIG-SOM-CUIDES,0
2046,cuenca,UIG-SOM-CUIDES,0
2047,guadalajara,UIG-SOM-CUIDES,0
2048,toledo,UIG-SOM-CUIDES,0
2049,avila,UIG-SOM-CUIDES,0
2050,burgos,UIG-SOM-CUIDES,0
2051,leon,UIG-SOM-CUIDES,0
2052,palencia,UIG-SOM-CUIDES,0
2053,salamanca,UIG-SOM-CUIDES,0
2054,segovia,UIG-SOM-CUIDES,0
2055,soria,UIG-SOM-CUIDES,0
2056,valladolid,UIG-SOM-CUIDES,0
2057,zamora,UIG-SOM-CUIDES,0
2058,barcelona,UIG-SOM-CUIDES,0
2059,girona,UIG-SOM-CUIDES,0
2060,lleida,UIG-SOM-CUIDES,0
2061,tarragona,UIG-SOM-CUIDES,0
2062,badajoz,UIG-SOM-CUIDES,0
2063,caceres,UIG-SOM-CUIDES,0
2064,acoruña,UIG-SOM-CUIDES,0
2065,lugo,UIG-SOM-CUIDES,0
2066,ourense,UIG-SOM-CUIDES,0
2067,pontevedra,UIG-SOM-CUIDES,0
2068,madrid,UIG-SOM-CUIDES,0
2069,navarra,UIG-SOM-CUIDES,0
2070,araba_alava,UIG-SOM-CUIDES,0
2071,gipuzkoa,UIG-SOM-CUIDES,0
2072,bizkaia,UIG-SOM-CUIDES,0
2073,murcia,UIG-SOM-CUIDES,0
2074,larioja,UIG-SOM-CUIDES,0
2075,alicante_alacant,UIG-SOM-CUIDES,0
2076,castellon_castello,UIG-SOM-CUIDES,0
2077,valencia_valencia,UIG-SOM-CUIDES,2339
2078,ceuta,UIG-SOM-CUIDES,0
2079,melilla,UIG-SOM-CUIDES,0
2080,almeria,SOMOS REGIÓN,0
2081,cadiz,SOMOS REGIÓN,0
2082,cordoba,SOMOS REGIÓN,0
2083,granada,SOMOS REGIÓN,0
2084,huelva,SOMOS REGIÓN,0
2085,jaen,SOMOS REGIÓN,0
2086,malaga,SOMOS REGIÓN,0
2087,sevilla,SOMOS REGIÓN,0
2088,huesca,SOMOS REGIÓN,0
2089,teruel,SOMOS REGIÓN,0
2090,zaragoza,SOMOS REGIÓN,0
2091,asturias,SOMOS REGIÓN,0
2092,illesbalears,SOMOS REGIÓN,0
2093,laspalmas,SOMOS REGIÓN,0
2094,santacruzdetenerife,SOMOS REGIÓN,0
2095,cantabria,SOMOS REGIÓN,0
2096,albacete,SOMOS REGIÓN,0
2097,ciudadreal,SOMOS REGIÓN,0
2098,cuenca,SOMOS REGIÓN,0
2099,guadalajara,SOMOS REGIÓN,0
2100,toledo,SOMOS REGIÓN,0
2101,avila,SOMOS REGIÓN,0
2102,burgos,SOMOS REGIÓN,0
2103,leon,SOMOS REGIÓN,0
2104,palencia,SOMOS REGIÓN,0
2105,salamanca,SOMOS REGIÓN,0
2106,segovia,SOMOS REGIÓN,0
2107,soria,SOMOS REGIÓN,0
2108,valladolid,SOMOS REGIÓN,0
2109,zamora,SOMOS REGIÓN,0
2110,barcelona,SOMOS REGIÓN,0
2111,girona,SOMOS REGIÓN,0
2112,lleida,SOMOS REGIÓN,0
2113,tarragona,SOMOS REGIÓN,0
2114,badajoz,SOMOS REGIÓN,0
2115,caceres,SOMOS REGIÓN,0
2116,acoruña,SOMOS REGIÓN,0
2117,lugo,SOMOS REGIÓN,0
2118,ourense,SOMOS REGIÓN,0
2119,pontevedra,SOMOS REGIÓN,0
2120,madrid,SOMOS REGIÓN,0
2121,navarra,SOMOS REGIÓN,0
2122,araba_alava,SOMOS REGIÓN,0
2123,gipuzkoa,SOMOS REGIÓN,0
2124,bizkaia,SOMOS REGIÓN,0
2125,murcia,SOMOS REGIÓN,2328
2126,larioja,SOMOS REGIÓN,0
2127,alicante_alacant,SOMOS REGIÓN,0
2128,castellon_castello,SOMOS REGIÓN,0
2129,valencia_valencia,SOMOS REGIÓN,0
2130,ceuta,SOMOS REGIÓN,0
2131,melilla,SOMOS REGIÓN,0
2132,almeria,IZQP,0
2133,cadiz,IZQP,0
2134,cordoba,IZQP,0
2135,granada,IZQP,0
2136,huelva,IZQP,0
2137,jaen,IZQP,0
2138,malaga,IZQP,0
2139,sevilla,IZQP,0
2140,huesca,IZQP,0
2141,teruel,IZQP,0
2142,zaragoza,IZQP,0
2143,asturias,IZQP,0
2144,illesbalears,IZQP,0
2145,laspalmas,IZQP,0
2146,santacruzdetenerife,IZQP,0
2147,cantabria,IZQP,0
2148,albacete,IZQP,0
2149,ciudadreal,IZQP,0
2150,cuenca,IZQP,0
2151,guadalajara,IZQP,0
2152,toledo,IZQP,0
2153,avila,IZQP,0
2154,burgos,IZQP,0
2155,leon,IZQP,0
2156,palencia,IZQP,0
2157,salamanca,IZQP,0
2158,segovia,IZQP,0
2159,soria,IZQP,0
2160,valladolid,IZQP,0
2161,zamora,IZQP,0
2162,barcelona,IZQP,1178
2163,girona,IZQP,246
2164,lleida,IZQP,124
2165,tarragona,IZQP,343
2166,badajoz,IZQP,0
2167,caceres,IZQP,0
2168,acoruña,IZQP,0
2169,lugo,IZQP,0
2170,ourense,IZQP,0
2171,pontevedra,IZQP,0
2172,madrid,IZQP,0
2173,navarra,IZQP,0
2174,araba_alava,IZQP,0
2175,gipuzkoa,IZQP,0
2176,bizkaia,IZQP,0
2177,murcia,IZQP,434
2178,larioja,IZQP,0
2179,alicante_alacant,IZQP,0
2180,castellon_castello,IZQP,0
2181,valencia_valencia,IZQP,0
2182,ceuta,IZQP,0
2183,melilla,IZQP,0
2184,almeria,AHORA CANARIAS,0
2185,cadiz,AHORA CANARIAS,0
2186,cordoba,AHORA CANARIAS,0
2187,granada,AHORA CANARIAS,0
2188,huelva,AHORA CANARIAS,0
2189,jaen,AHORA CANARIAS,0
2190,malaga,AHORA CANARIAS,0
2191,sevilla,AHORA CANARIAS,0
2192,huesca,AHORA CANARIAS,0
2193,teruel,AHORA CANARIAS,0
2194,zaragoza,AHORA CANARIAS,0
2195,asturias,AHORA CANARIAS,0
2196,illesbalears,AHORA CANARIAS,0
2197,laspalmas,AHORA CANARIAS,1110
2198,santacruzdetenerife,AHORA CANARIAS,922
2199,cantabria,AHORA CANARIAS,0
2200,albacete,AHORA CANARIAS,0
2201,ciudadreal,AHORA CANARIAS,0
2202,cuenca,AHORA CANARIAS,0
2203,guadalajara,AHORA CANARIAS,0
2204,toledo,AHORA CANARIAS,0
2205,avila,AHORA CANARIAS,0
2206,burgos,AHORA CANARIAS,0
2207,leon,AHORA CANARIAS,0
2208,palencia,AHORA CANARIAS,0
2209,salamanca,AHORA CANARIAS,0
2210,segovia,AHORA CANARIAS,0
2211,soria,AHORA CANARIAS,0
2212,valladolid,AHORA CANARIAS,0
2213,zamora,AHORA CANARIAS,0
2214,barcelona,AHORA CANARIAS,0
2215,girona,AHORA CANARIAS,0
2216,lleida,AHORA CANARIAS,0
2217,tarragona,AHORA CANARIAS,0
2218,badajoz,AHORA CANARIAS,0
2219,caceres,AHORA CANARIAS,0
2220,acoruña,AHORA CANARIAS,0
2221,lugo,AHORA CANARIAS,0
2222,ourense,AHORA CANARIAS,0
2223,pontevedra,AHORA CANARIAS,0
2224,madrid,AHORA CANARIAS,0
2225,navarra,AHORA CANARIAS,0
2226,araba_alava,AHORA CANARIAS,0
2227,gipuzkoa,AHORA CANARIAS,0
2228,bizkaia,AHORA CANARIAS,0
2229,murcia,AHORA CANARIAS,0
2230,larioja,AHORA CANARIAS,0
2231,alicante_alacant,AHORA CANARIAS,0
2232,castellon_castello,AHORA CANARIAS,0
2233,valencia_valencia,AHORA CANARIAS,0
2234,ceuta,AHORA CANARIAS,0
2235,melilla,AHORA CANARIAS,0
2236,almeria,CONTIGO,0
2237,cadiz,CONTIGO,0
2238,cordoba,CONTIGO,0
2239,granada,CONTIGO,0
2240,huelva,CONTIGO,0
2241,jaen,CONTIGO,0
2242,malaga,CONTIGO,0
2243,sevilla,CONTIGO,0
2244,huesca,CONTIGO,0
2245,teruel,CONTIGO,0
2246,zaragoza,CONTIGO,0
2247,asturias,CONTIGO,0
2248,illesbalears,CONTIGO,0
2249,laspalmas,CONTIGO,358
2250,santacruzdetenerife,CONTIGO,236
2251,cantabria,CONTIGO,0
2252,albacete,CONTIGO,0
2253,ciudadreal,CONTIGO,0
2254,cuenca,CONTIGO,0
2255,guadalajara,CONTIGO,0
2256,toledo,CONTIGO,0
2257,avila,CONTIGO,0
2258,burgos,CONTIGO,0
2259,leon,CONTIGO,0
2260,palencia,CONTIGO,0
2261,salamanca,CONTIGO,229
2262,segovia,CONTIGO,0
2263,soria,CONTIGO,0
2264,valladolid,CONTIGO,0
2265,zamora,CONTIGO,0
2266,barcelona,CONTIGO,0
2267,girona,CONTIGO,0
2268,lleida,CONTIGO,0
2269,tarragona,CONTIGO,0
2270,badajoz,CONTIGO,0
2271,caceres,CONTIGO,0
2272,acoruña,CONTIGO,0
2273,lugo,CONTIGO,0
2274,ourense,CONTIGO,0
2275,pontevedra,CONTIGO,0
2276,madrid,CONTIGO,0
2277,navarra,CONTIGO,0
2278,araba_alava,CONTIGO,0
2279,gipuzkoa,CONTIGO,0
2280,bizkaia,CONTIGO,0
2281,murcia,CONTIGO,317
2282,larioja,CONTIGO,0
2283,alicante_alacant,CONTIGO,0
2284,castellon_castello,CONTIGO,0
2285,valencia_valencia,CONTIGO,875
2286,ceuta,CONTIGO,0
2287,melilla,CONTIGO,0
2288,almeria,CHA,0
2289,cadiz,CHA,0
2290,cordoba,CHA,0
2291,granada,CHA,0
2292,huelva,CHA,0
2293,jaen,CHA,0
2294,malaga,CHA,0
2295,sevilla,CHA,0
2296,huesca,CHA,2000
2297,teruel,CHA,0
2298,zaragoza,CHA,0
2299,asturias,CHA,0
2300,illesbalears,CHA,0
2301,laspalmas,CHA,0
2302,santacruzdetenerife,CHA,0
2303,cantabria,CHA,0
2304,albacete,CHA,0
2305,ciudadreal,CHA,0
2306,cuenca,CHA,0
2307,guadalajara,CHA,0
2308,toledo,CHA,0
2309,avila,CHA,0
2310,burgos,CHA,0
2311,leon,CHA,0
2312,palencia,CHA,0
2313,salamanca,CHA,0
2314,segovia,CHA,0
2315,soria,CHA,0
2316,valladolid,CHA,0
2317,zamora,CHA,0
2318,barcelona,CHA,0
2319,girona,CHA,0
2320,lleida,CHA,0
2321,tarragona,CHA,0
2322,badajoz,CHA,0
2323,caceres,CHA,0
2324,acoruña,CHA,0
2325,lugo,CHA,0
2326,ourense,CHA,0
2327,pontevedra,CHA,0
2328,madrid,CHA,0
2329,navarra,CHA,0
2330,araba_alava,CHA,0
2331,gipuzkoa,CHA,0
2332,bizkaia,CHA,0
2333,murcia,CHA,0
2334,larioja,CHA,0
2335,alicante_alacant,CHA,0
2336,castellon_castello,CHA,0
2337,valencia_valencia,CHA,0
2338,ceuta,CHA,0
2339,melilla,CHA,0
2340,almeria,PPSO,0
2341,cadiz,PPSO,0
2342,cordoba,PPSO,0
2343,granada,PPSO,0
2344,huelva,PPSO,0
2345,jaen,PPSO,0
2346,malaga,PPSO,0
2347,sevilla,PPSO,0
2348,huesca,PPSO,0
2349,teruel,PPSO,0
2350,zaragoza,PPSO,0
2351,asturias,PPSO,0
2352,illesbalears,PPSO,0
2353,laspalmas,PPSO,0
2354,santacruzdetenerife,PPSO,0
2355,cantabria,PPSO,0
2356,albacete,PPSO,0
2357,ciudadreal,PPSO,0
2358,cuenca,PPSO,0
2359,guadalajara,PPSO,0
2360,toledo,PPSO,0
2361,avila,PPSO,0
2362,burgos,PPSO,0
2363,leon,PPSO,0
2364,palencia,PPSO,0
2365,salamanca,PPSO,0
2366,segovia,PPSO,0
2367,soria,PPSO,1466
2368,valladolid,PPSO,0
2369,zamora,PPSO,0
2370,barcelona,PPSO,0
2371,girona,PPSO,0
2372,lleida,PPSO,0
2373,tarragona,PPSO,0
2374,badajoz,PPSO,0
2375,caceres,PPSO,0
2376,acoruña,PPSO,0
2377,lugo,PPSO,0
2378,ourense,PPSO,0
2379,pontevedra,PPSO,0
2380,madrid,PPSO,0
2381,navarra,PPSO,0
2382,araba_alava,PPSO,0
