id,votes,pp_id,region_election_id
7167,1501,20,148
7168,902,33,148
7169,510,209,148
7170,435,205,148
7171,251,28,148
7172,139,23,148
7173,92609,1,136
7174,62809,7,136
7175,47234,176,136
7176,35118,202,136
7177,31042,2,136
7178,22514,3,136
7179,18106,12,136
7180,3483,20,136
7181,3331,177,136
7182,554,209,136
7183,403,28,136
7184,245,205,136
7185,184492,2,108
7186,164330,1,108
7187,80466,3,108
7188,57842,204,108
7189,3017,20,108
7190,1099,181,108
7191,729,23,108
7192,665,28,108
7193,642,209,108
7194,432,211,108
7195,331,205,108
7196,50988,2,124
7197,46184,1,124
7198,26981,3,124
7199,12792,204,124
7200,1031,20,124
7201,302,209,124
7202,244,23,124
7203,185,28,124
7204,159,205,124
7205,115,56,124
7206,93400,2,109
7207,92098,1,109
7208,37485,3,109
7209,26607,204,109
7210,1914,182,109
7211,1652,20,109
7212,360,23,109
7213,216,205,109
7214,45562,2,113
7215,39899,1,113
7216,15073,3,113
7217,13624,204,113
7218,1293,19,113
7219,700,183,113
7220,482,20,113
7221,470,33,113
7222,252,209,113
7223,130,28,113
7224,106,23,113
7225,78,60,113
7226,63,205,113
7227,178715,2,117
7228,151134,1,117
7229,83116,184,117
7230,76302,3,117
7231,4914,20,117
7232,1023,209,117
7233,751,205,117
7234,719,28,117
7235,137180,2,110
7236,133280,1,110
7237,54223,3,110
7238,29208,204,110
7239,8234,185,110
7240,1636,20,110
7241,399,209,110
7242,344,23,110
7243,202,205,110
7244,79113,2,151
7245,61916,1,151
7246,16880,3,151
7247,11320,204,151
7248,696,20,151
7249,600,33,151
7250,287,209,151
7251,270,186,151
7252,228,23,151
7253,224,28,151
7254,125,205,151
7255,174767,1,118
7256,136287,2,118
7257,76982,3,118
7258,53992,204,118
7259,42422,187,118
7260,33327,188,118
7261,3525,20,118
7262,868,27,118
7263,631,209,118
7264,583,23,118
7265,390,205,118
7266,100327,2,128
7267,91239,1,128
7268,34974,3,128
7269,22499,30,128
7270,18147,204,128
7271,831,20,128
7272,510,209,128
7273,459,210,128
7274,303,28,128
7275,262,52,128
7276,141,23,128
7277,60,205,128
7278,53860,1,137
7279,34063,176,137
7280,33001,7,137
7281,23428,2,137
7282,14407,202,137
7283,12461,3,137
7284,5403,12,137
7285,1852,177,137
7286,1331,20,137
7287,451,33,137
7288,243,209,137
7289,182,28,137
7290,118,205,137
7291,98105,2,142
7292,59053,1,142
7293,16975,17,142
7294,10038,204,142
7295,8345,3,142
7296,564,20,142
7297,205,209,142
7298,114,23,142
7299,100,205,142
7300,96,28,142
7301,1443881,2,145
7302,993870,1,145
7303,550389,204,145
7304,499733,3,145
7305,21264,20,145
7306,7661,209,145
7307,6567,23,145
7308,3723,205,145
7309,3597,28,145
7310,2811,38,145
7311,1948,56,145
7312,299977,2,111
7313,236935,1,111
7314,128965,3,111
7315,95662,204,111
7316,8301,20,111
7317,1994,209,111
7318,1465,23,111
7319,866,205,111
7320,673,211,111
7321,13369,2,156
7322,6892,1,156
7323,4345,3,156
7324,1279,32,156
7325,821,204,156
7326,156,20,156
7327,39,23,156
7328,22,205,156
7329,306999,2,150
7330,187971,1,150
7331,162481,3,150
7332,70900,204,150
7333,4979,20,150
7334,1655,189,150
7335,1350,33,150
7336,1182,209,150
7337,540,205,150
7338,498,56,150
7339,432,211,150
7340,297,190,150
7341,92798,1,146
7342,58686,10,146
7343,56483,2,146
7344,51764,191,146
7345,43564,204,146
7346,19213,3,146
7347,9839,29,146
7348,1489,20,146
7349,971,23,146
7350,667,209,146
7351,304,28,146
7352,251,205,146
7353,90185,2,143
7354,54919,1,143
7355,15110,17,143
7356,9825,204,143
7357,8415,3,143
7358,580,20,143
7359,170,209,143
7360,102,23,143
7361,100,192,143
7362,83,205,143
7363,77,28,143
7364,40263,2,129
7365,33183,1,129
7366,12417,3,129
7367,5792,204,129
7368,1898,193,129
7369,378,210,129
7370,361,194,129
7371,305,209,129
7372,282,20,129
7373,231,205,129
7374,90,23,129
7375,76,28,129
